ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
192.168.4.78,192.168.4.133,32768,52825,1024,0x0002
192.168.4.106,192.168.4.133,32778,52825,1024,0x0002
192.168.4.136,192.168.4.133,1244,52825,1024,0x0002
192.168.4.21,192.168.4.133,254,52825,1024,0x0002
192.168.4.77,192.168.4.133,212,52825,1024,0x0002
192.168.4.78,192.168.4.133,5730,52825,1024,0x0002
192.168.4.106,192.168.4.133,8011,52825,1024,0x0002
192.168.4.136,192.168.4.133,3476,52825,1024,0x0002
192.168.4.133,192.168.4.77,52825,32769,0,0x0014
192.168.4.133,192.168.4.78,52825,777,0,0x0014
192.168.4.77,192.168.4.133,514,52825,1024,0x0002
192.168.4.78,192.168.4.133,5269,52825,1024,0x0002
192.168.4.133,192.168.4.21,52825,3351,0,0x0014
192.168.4.133,192.168.4.1,52825,691,0,0x0014
192.168.4.133,192.168.4.78,52825,18101,0,0x0014
192.168.4.133,192.168.4.77,52825,88,0,0x0014
192.168.4.133,192.168.4.77,52825,212,0,0x0014
192.168.4.136,192.168.4.133,5009,52827,1024,0x0002
192.168.4.136,192.168.4.133,7002,52827,1024,0x0002
192.168.4.136,192.168.4.133,1043,52827,1024,0x0002
192.168.4.21,192.168.4.133,1863,52825,1024,0x0002
192.168.4.77,192.168.4.133,9099,52825,1024,0x0002
192.168.4.78,192.168.4.133,30,52825,1024,0x0002
192.168.4.106,192.168.4.133,1095,52825,1024,0x0002
192.168.4.136,192.168.4.133,2710,52825,1024,0x0002
192.168.4.21,192.168.4.133,1187,52825,1024,0x0002
192.168.4.106,192.168.4.133,13783,52825,1024,0x0002
192.168.4.21,192.168.4.133,9111,52825,1024,0x0002
192.168.4.77,192.168.4.133,1801,52825,1024,0x0002
192.168.4.78,192.168.4.133,9929,52825,1024,0x0002
192.168.4.133,192.168.4.77,52825,514,0,0x0014
192.168.4.133,192.168.4.21,52825,1700,0,0x0014
192.168.4.133,192.168.4.21,52825,254,0,0x0014
192.168.4.133,192.168.4.106,52825,8011,0,0x0014
192.168.4.133,192.168.4.106,52825,1218,0,0x0014
192.168.4.133,192.168.4.106,52825,32778,0,0x0014
192.168.4.133,192.168.4.77,52825,9099,0,0x0014
192.168.4.133,192.168.4.78,52825,5730,0,0x0014
192.168.4.133,192.168.4.78,52825,32768,0,0x0014
192.168.4.136,192.168.4.133,1051,52827,1024,0x0002
192.168.4.136,192.168.4.133,32779,52827,1024,0x0002
192.168.4.21,192.168.4.133,3914,52825,1024,0x0002
192.168.4.77,192.168.4.133,1089,52825,1024,0x0002
192.168.4.78,192.168.4.133,1862,52825,1024,0x0002
192.168.4.106,192.168.4.133,259,52825,1024,0x0002
192.168.4.136,192.168.4.133,2401,52825,1024,0x0002
192.168.4.21,192.168.4.133,4,52825,1024,0x0002
192.168.4.77,192.168.4.133,1259,52825,1024,0x0002
192.168.4.78,192.168.4.133,8021,52825,1024,0x0002
192.168.4.106,192.168.4.133,20828,52825,1024,0x0002
